pre,post,mask
tiles\images\EARTHQUAKE-TURKEY_000341_pre.png,tiles\images\EARTHQUAKE-TURKEY_000341_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000341_class.png
tiles\images\EARTHQUAKE-TURKEY_014458_pre.png,tiles\images\EARTHQUAKE-TURKEY_014458_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014458_class.png
tiles\images\EARTHQUAKE-TURKEY_005119_pre.png,tiles\images\EARTHQUAKE-TURKEY_005119_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005119_class.png
tiles\images\EARTHQUAKE-TURKEY_004195_pre.png,tiles\images\EARTHQUAKE-TURKEY_004195_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004195_class.png
tiles\images\EARTHQUAKE-TURKEY_002693_pre.png,tiles\images\EARTHQUAKE-TURKEY_002693_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002693_class.png
tiles\images\EARTHQUAKE-TURKEY_018189_pre.png,tiles\images\EARTHQUAKE-TURKEY_018189_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_018189_class.png
tiles\images\EARTHQUAKE-TURKEY_000548_pre.png,tiles\images\EARTHQUAKE-TURKEY_000548_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000548_class.png
tiles\images\EARTHQUAKE-TURKEY_005645_pre.png,tiles\images\EARTHQUAKE-TURKEY_005645_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005645_class.png
tiles\images\EARTHQUAKE-TURKEY_018035_pre.png,tiles\images\EARTHQUAKE-TURKEY_018035_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_018035_class.png
tiles\images\EARTHQUAKE-TURKEY_015488_pre.png,tiles\images\EARTHQUAKE-TURKEY_015488_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015488_class.png
tiles\images\EARTHQUAKE-TURKEY_000608_pre.png,tiles\images\EARTHQUAKE-TURKEY_000608_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000608_class.png
tiles\images\EARTHQUAKE-TURKEY_015581_pre.png,tiles\images\EARTHQUAKE-TURKEY_015581_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015581_class.png
tiles\images\EARTHQUAKE-TURKEY_005026_pre.png,tiles\images\EARTHQUAKE-TURKEY_005026_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005026_class.png
tiles\images\EARTHQUAKE-TURKEY_014846_pre.png,tiles\images\EARTHQUAKE-TURKEY_014846_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014846_class.png
tiles\images\EARTHQUAKE-TURKEY_011494_pre.png,tiles\images\EARTHQUAKE-TURKEY_011494_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011494_class.png
tiles\images\EARTHQUAKE-TURKEY_006051_pre.png,tiles\images\EARTHQUAKE-TURKEY_006051_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006051_class.png
tiles\images\EARTHQUAKE-TURKEY_013621_pre.png,tiles\images\EARTHQUAKE-TURKEY_013621_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013621_class.png
tiles\images\EARTHQUAKE-TURKEY_002904_pre.png,tiles\images\EARTHQUAKE-TURKEY_002904_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002904_class.png
tiles\images\EARTHQUAKE-TURKEY_010579_pre.png,tiles\images\EARTHQUAKE-TURKEY_010579_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_010579_class.png
tiles\images\EARTHQUAKE-TURKEY_004358_pre.png,tiles\images\EARTHQUAKE-TURKEY_004358_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004358_class.png
tiles\images\EARTHQUAKE-TURKEY_000161_pre.png,tiles\images\EARTHQUAKE-TURKEY_000161_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000161_class.png
tiles\images\EARTHQUAKE-TURKEY_008320_pre.png,tiles\images\EARTHQUAKE-TURKEY_008320_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008320_class.png
tiles\images\EARTHQUAKE-TURKEY_015138_pre.png,tiles\images\EARTHQUAKE-TURKEY_015138_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015138_class.png
tiles\images\EARTHQUAKE-TURKEY_017268_pre.png,tiles\images\EARTHQUAKE-TURKEY_017268_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017268_class.png
tiles\images\EARTHQUAKE-TURKEY_003640_pre.png,tiles\images\EARTHQUAKE-TURKEY_003640_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003640_class.png
tiles\images\EARTHQUAKE-TURKEY_011060_pre.png,tiles\images\EARTHQUAKE-TURKEY_011060_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011060_class.png
tiles\images\EARTHQUAKE-TURKEY_011563_pre.png,tiles\images\EARTHQUAKE-TURKEY_011563_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011563_class.png
tiles\images\EARTHQUAKE-TURKEY_016736_pre.png,tiles\images\EARTHQUAKE-TURKEY_016736_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016736_class.png
tiles\images\EARTHQUAKE-TURKEY_002137_pre.png,tiles\images\EARTHQUAKE-TURKEY_002137_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002137_class.png
tiles\images\EARTHQUAKE-TURKEY_017216_pre.png,tiles\images\EARTHQUAKE-TURKEY_017216_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017216_class.png
tiles\images\EARTHQUAKE-TURKEY_002457_pre.png,tiles\images\EARTHQUAKE-TURKEY_002457_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002457_class.png
tiles\images\EARTHQUAKE-TURKEY_011650_pre.png,tiles\images\EARTHQUAKE-TURKEY_011650_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011650_class.png
tiles\images\EXTRA_002_pre.png,tiles\images\EXTRA_002_post.png,pseudo_labels\masks\EXTRA_002_class.png
tiles\images\EARTHQUAKE-TURKEY_015003_pre.png,tiles\images\EARTHQUAKE-TURKEY_015003_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015003_class.png
tiles\images\EARTHQUAKE-TURKEY_001982_pre.png,tiles\images\EARTHQUAKE-TURKEY_001982_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001982_class.png
tiles\images\EARTHQUAKE-TURKEY_012344_pre.png,tiles\images\EARTHQUAKE-TURKEY_012344_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012344_class.png
tiles\images\EARTHQUAKE-TURKEY_007882_pre.png,tiles\images\EARTHQUAKE-TURKEY_007882_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007882_class.png
tiles\images\EARTHQUAKE-TURKEY_015714_pre.png,tiles\images\EARTHQUAKE-TURKEY_015714_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015714_class.png
tiles\images\EARTHQUAKE-TURKEY_017140_pre.png,tiles\images\EARTHQUAKE-TURKEY_017140_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017140_class.png
tiles\images\EARTHQUAKE-TURKEY_009177_pre.png,tiles\images\EARTHQUAKE-TURKEY_009177_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009177_class.png
tiles\images\EARTHQUAKE-TURKEY_000883_pre.png,tiles\images\EARTHQUAKE-TURKEY_000883_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000883_class.png
tiles\images\EARTHQUAKE-TURKEY_004953_pre.png,tiles\images\EARTHQUAKE-TURKEY_004953_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004953_class.png
tiles\images\EARTHQUAKE-TURKEY_011511_pre.png,tiles\images\EARTHQUAKE-TURKEY_011511_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011511_class.png
tiles\images\EARTHQUAKE-TURKEY_011363_pre.png,tiles\images\EARTHQUAKE-TURKEY_011363_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011363_class.png
tiles\images\EARTHQUAKE-TURKEY_012470_pre.png,tiles\images\EARTHQUAKE-TURKEY_012470_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012470_class.png
tiles\images\EARTHQUAKE-TURKEY_012377_pre.png,tiles\images\EARTHQUAKE-TURKEY_012377_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012377_class.png
tiles\images\EARTHQUAKE-TURKEY_006911_pre.png,tiles\images\EARTHQUAKE-TURKEY_006911_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006911_class.png
tiles\images\EARTHQUAKE-TURKEY_014114_pre.png,tiles\images\EARTHQUAKE-TURKEY_014114_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014114_class.png
tiles\images\EARTHQUAKE-TURKEY_001722_pre.png,tiles\images\EARTHQUAKE-TURKEY_001722_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001722_class.png
tiles\images\EARTHQUAKE-TURKEY_006081_pre.png,tiles\images\EARTHQUAKE-TURKEY_006081_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006081_class.png
tiles\images\EARTHQUAKE-TURKEY_005040_pre.png,tiles\images\EARTHQUAKE-TURKEY_005040_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005040_class.png
tiles\images\EARTHQUAKE-TURKEY_011633_pre.png,tiles\images\EARTHQUAKE-TURKEY_011633_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011633_class.png
tiles\images\EARTHQUAKE-TURKEY_007209_pre.png,tiles\images\EARTHQUAKE-TURKEY_007209_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007209_class.png
tiles\images\EARTHQUAKE-TURKEY_000585_pre.png,tiles\images\EARTHQUAKE-TURKEY_000585_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000585_class.png
tiles\images\EARTHQUAKE-TURKEY_009946_pre.png,tiles\images\EARTHQUAKE-TURKEY_009946_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009946_class.png
tiles\images\EARTHQUAKE-TURKEY_012852_pre.png,tiles\images\EARTHQUAKE-TURKEY_012852_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012852_class.png
tiles\images\EARTHQUAKE-TURKEY_012070_pre.png,tiles\images\EARTHQUAKE-TURKEY_012070_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012070_class.png
tiles\images\EARTHQUAKE-TURKEY_004319_pre.png,tiles\images\EARTHQUAKE-TURKEY_004319_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004319_class.png
tiles\images\EARTHQUAKE-TURKEY_014658_pre.png,tiles\images\EARTHQUAKE-TURKEY_014658_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014658_class.png
tiles\images\EARTHQUAKE-TURKEY_003592_pre.png,tiles\images\EARTHQUAKE-TURKEY_003592_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003592_class.png
tiles\images\EARTHQUAKE-TURKEY_012976_pre.png,tiles\images\EARTHQUAKE-TURKEY_012976_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012976_class.png
tiles\images\EARTHQUAKE-TURKEY_003989_pre.png,tiles\images\EARTHQUAKE-TURKEY_003989_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003989_class.png
tiles\images\EARTHQUAKE-TURKEY_016569_pre.png,tiles\images\EARTHQUAKE-TURKEY_016569_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016569_class.png
tiles\images\EARTHQUAKE-TURKEY_007993_pre.png,tiles\images\EARTHQUAKE-TURKEY_007993_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007993_class.png
tiles\images\EARTHQUAKE-TURKEY_008663_pre.png,tiles\images\EARTHQUAKE-TURKEY_008663_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008663_class.png
tiles\images\EARTHQUAKE-TURKEY_005524_pre.png,tiles\images\EARTHQUAKE-TURKEY_005524_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005524_class.png
tiles\images\EARTHQUAKE-TURKEY_003878_pre.png,tiles\images\EARTHQUAKE-TURKEY_003878_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003878_class.png
tiles\images\EARTHQUAKE-TURKEY_009820_pre.png,tiles\images\EARTHQUAKE-TURKEY_009820_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009820_class.png
tiles\images\EARTHQUAKE-TURKEY_000943_pre.png,tiles\images\EARTHQUAKE-TURKEY_000943_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000943_class.png
tiles\images\EARTHQUAKE-TURKEY_004041_pre.png,tiles\images\EARTHQUAKE-TURKEY_004041_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004041_class.png
tiles\images\EARTHQUAKE-TURKEY_000926_pre.png,tiles\images\EARTHQUAKE-TURKEY_000926_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000926_class.png
tiles\images\EARTHQUAKE-TURKEY_002215_pre.png,tiles\images\EARTHQUAKE-TURKEY_002215_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002215_class.png
tiles\images\EARTHQUAKE-TURKEY_015227_pre.png,tiles\images\EARTHQUAKE-TURKEY_015227_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015227_class.png
tiles\images\EARTHQUAKE-TURKEY_001417_pre.png,tiles\images\EARTHQUAKE-TURKEY_001417_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001417_class.png
tiles\images\EARTHQUAKE-TURKEY_006490_pre.png,tiles\images\EARTHQUAKE-TURKEY_006490_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006490_class.png
tiles\images\EARTHQUAKE-TURKEY_000878_pre.png,tiles\images\EARTHQUAKE-TURKEY_000878_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000878_class.png
tiles\images\EARTHQUAKE-TURKEY_004384_pre.png,tiles\images\EARTHQUAKE-TURKEY_004384_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004384_class.png
tiles\images\EARTHQUAKE-TURKEY_016380_pre.png,tiles\images\EARTHQUAKE-TURKEY_016380_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016380_class.png
tiles\images\EARTHQUAKE-TURKEY_003054_pre.png,tiles\images\EARTHQUAKE-TURKEY_003054_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003054_class.png
tiles\images\EARTHQUAKE-TURKEY_015112_pre.png,tiles\images\EARTHQUAKE-TURKEY_015112_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015112_class.png
tiles\images\EARTHQUAKE-TURKEY_002336_pre.png,tiles\images\EARTHQUAKE-TURKEY_002336_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002336_class.png
tiles\images\EARTHQUAKE-TURKEY_013906_pre.png,tiles\images\EARTHQUAKE-TURKEY_013906_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013906_class.png
tiles\images\EARTHQUAKE-TURKEY_011972_pre.png,tiles\images\EARTHQUAKE-TURKEY_011972_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011972_class.png
tiles\images\EARTHQUAKE-TURKEY_015674_pre.png,tiles\images\EARTHQUAKE-TURKEY_015674_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015674_class.png
tiles\images\EARTHQUAKE-TURKEY_001296_pre.png,tiles\images\EARTHQUAKE-TURKEY_001296_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001296_class.png
tiles\images\EARTHQUAKE-TURKEY_014647_pre.png,tiles\images\EARTHQUAKE-TURKEY_014647_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014647_class.png
tiles\images\EARTHQUAKE-TURKEY_016102_pre.png,tiles\images\EARTHQUAKE-TURKEY_016102_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016102_class.png
tiles\images\EARTHQUAKE-TURKEY_017745_pre.png,tiles\images\EARTHQUAKE-TURKEY_017745_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017745_class.png
tiles\images\EARTHQUAKE-TURKEY_003788_pre.png,tiles\images\EARTHQUAKE-TURKEY_003788_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003788_class.png
tiles\images\EARTHQUAKE-TURKEY_009090_pre.png,tiles\images\EARTHQUAKE-TURKEY_009090_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009090_class.png
tiles\images\EARTHQUAKE-TURKEY_015994_pre.png,tiles\images\EARTHQUAKE-TURKEY_015994_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015994_class.png
tiles\images\EARTHQUAKE-TURKEY_000297_pre.png,tiles\images\EARTHQUAKE-TURKEY_000297_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000297_class.png
tiles\images\EARTHQUAKE-TURKEY_000978_pre.png,tiles\images\EARTHQUAKE-TURKEY_000978_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000978_class.png
tiles\images\EARTHQUAKE-TURKEY_007059_pre.png,tiles\images\EARTHQUAKE-TURKEY_007059_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007059_class.png
tiles\images\EARTHQUAKE-TURKEY_015920_pre.png,tiles\images\EARTHQUAKE-TURKEY_015920_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015920_class.png
tiles\images\EARTHQUAKE-TURKEY_014602_pre.png,tiles\images\EARTHQUAKE-TURKEY_014602_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014602_class.png
tiles\images\EARTHQUAKE-TURKEY_011257_pre.png,tiles\images\EARTHQUAKE-TURKEY_011257_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011257_class.png
tiles\images\EARTHQUAKE-TURKEY_005612_pre.png,tiles\images\EARTHQUAKE-TURKEY_005612_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005612_class.png
tiles\images\EARTHQUAKE-TURKEY_008755_pre.png,tiles\images\EARTHQUAKE-TURKEY_008755_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008755_class.png
tiles\images\EARTHQUAKE-TURKEY_006293_pre.png,tiles\images\EARTHQUAKE-TURKEY_006293_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006293_class.png
tiles\images\EARTHQUAKE-TURKEY_006693_pre.png,tiles\images\EARTHQUAKE-TURKEY_006693_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006693_class.png
tiles\images\EARTHQUAKE-TURKEY_003398_pre.png,tiles\images\EARTHQUAKE-TURKEY_003398_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003398_class.png
tiles\images\EARTHQUAKE-TURKEY_005695_pre.png,tiles\images\EARTHQUAKE-TURKEY_005695_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005695_class.png
tiles\images\EARTHQUAKE-TURKEY_011425_pre.png,tiles\images\EARTHQUAKE-TURKEY_011425_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011425_class.png
tiles\images\EARTHQUAKE-TURKEY_002394_pre.png,tiles\images\EARTHQUAKE-TURKEY_002394_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002394_class.png
tiles\images\EARTHQUAKE-TURKEY_015774_pre.png,tiles\images\EARTHQUAKE-TURKEY_015774_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015774_class.png
tiles\images\EARTHQUAKE-TURKEY_005878_pre.png,tiles\images\EARTHQUAKE-TURKEY_005878_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005878_class.png
tiles\images\EARTHQUAKE-TURKEY_005085_pre.png,tiles\images\EARTHQUAKE-TURKEY_005085_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005085_class.png
tiles\images\EARTHQUAKE-TURKEY_017437_pre.png,tiles\images\EARTHQUAKE-TURKEY_017437_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017437_class.png
tiles\images\EARTHQUAKE-TURKEY_005767_pre.png,tiles\images\EARTHQUAKE-TURKEY_005767_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005767_class.png
tiles\images\EARTHQUAKE-TURKEY_017759_pre.png,tiles\images\EARTHQUAKE-TURKEY_017759_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017759_class.png
tiles\images\EARTHQUAKE-TURKEY_002819_pre.png,tiles\images\EARTHQUAKE-TURKEY_002819_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002819_class.png
tiles\images\EARTHQUAKE-TURKEY_001764_pre.png,tiles\images\EARTHQUAKE-TURKEY_001764_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001764_class.png
tiles\images\EARTHQUAKE-TURKEY_016854_pre.png,tiles\images\EARTHQUAKE-TURKEY_016854_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016854_class.png
tiles\images\EARTHQUAKE-TURKEY_002708_pre.png,tiles\images\EARTHQUAKE-TURKEY_002708_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002708_class.png
tiles\images\EARTHQUAKE-TURKEY_005550_pre.png,tiles\images\EARTHQUAKE-TURKEY_005550_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005550_class.png
tiles\images\EARTHQUAKE-TURKEY_000313_pre.png,tiles\images\EARTHQUAKE-TURKEY_000313_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000313_class.png
tiles\images\EXTRA_006_pre.png,tiles\images\EXTRA_006_post.png,pseudo_labels\masks\EXTRA_006_class.png
tiles\images\EARTHQUAKE-TURKEY_017963_pre.png,tiles\images\EARTHQUAKE-TURKEY_017963_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017963_class.png
tiles\images\EARTHQUAKE-TURKEY_004942_pre.png,tiles\images\EARTHQUAKE-TURKEY_004942_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004942_class.png
tiles\images\EARTHQUAKE-TURKEY_010050_pre.png,tiles\images\EARTHQUAKE-TURKEY_010050_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_010050_class.png
tiles\images\EARTHQUAKE-TURKEY_017512_pre.png,tiles\images\EARTHQUAKE-TURKEY_017512_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017512_class.png
tiles\images\EARTHQUAKE-TURKEY_016556_pre.png,tiles\images\EARTHQUAKE-TURKEY_016556_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016556_class.png
tiles\images\EARTHQUAKE-TURKEY_017163_pre.png,tiles\images\EARTHQUAKE-TURKEY_017163_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017163_class.png
tiles\images\EARTHQUAKE-TURKEY_015692_pre.png,tiles\images\EARTHQUAKE-TURKEY_015692_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015692_class.png
tiles\images\EARTHQUAKE-TURKEY_014900_pre.png,tiles\images\EARTHQUAKE-TURKEY_014900_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014900_class.png
tiles\images\EARTHQUAKE-TURKEY_002136_pre.png,tiles\images\EARTHQUAKE-TURKEY_002136_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002136_class.png
tiles\images\EARTHQUAKE-TURKEY_011947_pre.png,tiles\images\EARTHQUAKE-TURKEY_011947_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011947_class.png
tiles\images\EARTHQUAKE-TURKEY_013427_pre.png,tiles\images\EARTHQUAKE-TURKEY_013427_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013427_class.png
tiles\images\EARTHQUAKE-TURKEY_018138_pre.png,tiles\images\EARTHQUAKE-TURKEY_018138_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_018138_class.png
tiles\images\EARTHQUAKE-TURKEY_002007_pre.png,tiles\images\EARTHQUAKE-TURKEY_002007_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002007_class.png
tiles\images\EARTHQUAKE-TURKEY_014332_pre.png,tiles\images\EARTHQUAKE-TURKEY_014332_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014332_class.png
tiles\images\EARTHQUAKE-TURKEY_001322_pre.png,tiles\images\EARTHQUAKE-TURKEY_001322_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001322_class.png
tiles\images\EARTHQUAKE-TURKEY_004904_pre.png,tiles\images\EARTHQUAKE-TURKEY_004904_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004904_class.png
tiles\images\EARTHQUAKE-TURKEY_008738_pre.png,tiles\images\EARTHQUAKE-TURKEY_008738_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008738_class.png
tiles\images\EARTHQUAKE-TURKEY_017043_pre.png,tiles\images\EARTHQUAKE-TURKEY_017043_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017043_class.png
tiles\images\EARTHQUAKE-TURKEY_006235_pre.png,tiles\images\EARTHQUAKE-TURKEY_006235_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006235_class.png
tiles\images\EARTHQUAKE-TURKEY_009070_pre.png,tiles\images\EARTHQUAKE-TURKEY_009070_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009070_class.png
tiles\images\EARTHQUAKE-TURKEY_005959_pre.png,tiles\images\EARTHQUAKE-TURKEY_005959_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005959_class.png
tiles\images\EARTHQUAKE-TURKEY_014079_pre.png,tiles\images\EARTHQUAKE-TURKEY_014079_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014079_class.png
tiles\images\EARTHQUAKE-TURKEY_010231_pre.png,tiles\images\EARTHQUAKE-TURKEY_010231_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_010231_class.png
tiles\images\EARTHQUAKE-TURKEY_011262_pre.png,tiles\images\EARTHQUAKE-TURKEY_011262_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011262_class.png
tiles\images\EARTHQUAKE-TURKEY_001077_pre.png,tiles\images\EARTHQUAKE-TURKEY_001077_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001077_class.png
tiles\images\EARTHQUAKE-TURKEY_013931_pre.png,tiles\images\EARTHQUAKE-TURKEY_013931_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013931_class.png
tiles\images\EARTHQUAKE-TURKEY_006387_pre.png,tiles\images\EARTHQUAKE-TURKEY_006387_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006387_class.png
tiles\images\EARTHQUAKE-TURKEY_007949_pre.png,tiles\images\EARTHQUAKE-TURKEY_007949_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007949_class.png
tiles\images\EARTHQUAKE-TURKEY_012441_pre.png,tiles\images\EARTHQUAKE-TURKEY_012441_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012441_class.png
tiles\images\EARTHQUAKE-TURKEY_013885_pre.png,tiles\images\EARTHQUAKE-TURKEY_013885_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013885_class.png
tiles\images\EARTHQUAKE-TURKEY_009924_pre.png,tiles\images\EARTHQUAKE-TURKEY_009924_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009924_class.png
tiles\images\EARTHQUAKE-TURKEY_006827_pre.png,tiles\images\EARTHQUAKE-TURKEY_006827_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006827_class.png
tiles\images\EARTHQUAKE-TURKEY_002395_pre.png,tiles\images\EARTHQUAKE-TURKEY_002395_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002395_class.png
